Outcome,Player,Bodypart,Mins,Secs,X,Y,X2,Y2
1,-,1,0,42,85,66,-,-
1,-,1,1,20,87,31,-,-
1,-,0,2,36,88,66,-,-
0,-,0,2,45,90,66,-,-
0,-,1,3,22,77,42,-,-
0,-,1,3,42,93,64,-,-
0,-,0,4,47,91,37,-,-
1,-,1,5,57,82,66,-,-
0,-,1,5,57,80,42,-,-
0,-,1,6,15,79,63,-,-
1,-,1,6,22,90,32,-,-
0,-,1,7,15,89,34,-,-
0,-,0,7,17,91,48,-,-
0,-,1,7,19,90,56,-,-
0,-,0,7,37,91,60,-,-
0,-,1,7,59,82,36,-,-
0,-,1,8,7,94,44,-,-
0,-,1,8,21,86,46,-,-
0,-,0,8,38,90,54,-,-
0,-,0,8,48,93,51,-,-
0,-,1,9,28,85,56,-,-
1,-,1,9,48,94,61,-,-
1,-,0,11,40,92,58,-,-
0,-,0,12,35,92,47,-,-
0,-,0,12,42,92,51,-,-
0,-,0,13,1,92,35,-,-
0,-,1,13,23,87,29,-,-
0,-,0,1,8,91,51,-,-
0,-,1,1,47,78,55,-,-
0,-,1,2,14,76,55,-,-
0,-,0,2,21,92,32,-,-
0,-,1,2,44,97,64,-,-
0,-,0,3,13,92,33,-,-
1,-,1,3,18,88,62,-,-
0,-,1,3,48,91,31,-,-
0,-,1,5,4,88,54,-,-
1,-,1,5,11,88,59,-,-
0,-,1,6,21,80,44,-,-
0,-,1,6,52,93,68,-,-
0,-,1,7,0,86,79,-,-
0,-,0,7,42,88,57,-,-
0,-,0,8,5,90,55,-,-
0,-,1,8,10,51,32,-,-
0,-,1,8,38,80,37,-,-
0,-,1,1,45,76,38,-,-
0,-,0,2,16,83,34,-,-
0,-,1,2,23,75,38,-,-
0,-,0,3,16,92,57,-,-
0,-,1,4,31,80,46,-,-
1,-,1,4,47,88,39,-,-
0,-,1,5,42,90,63,-,-
0,-,0,6,6,93,45,-,-
0,-,0,6,32,80,58,-,-
0,-,0,6,48,91,60,-,-
0,-,0,7,1,93,42,-,-
0,-,1,7,21,90,49,-,-
0,-,0,7,55,93,40,-,-
0,-,0,8,32,92,54,-,-
1,-,1,8,41,93,68,-,-
1,-,1,9,35,97,55,-,-
0,-,1,10,1,86,24,-,-
